index,name,alias,helpText
1,Setting and Infrastructure (SI),Infraestructura,"Evalúa el compromiso de la institución con la creación de un campus sostenible a través del diseño, la construcción y la operación de sus instalaciones."
2,Energy and Climate Change (EC),Energía y Cambio Climático,Evalúa el compromiso de la institución con la reducción de su huella de carbono y la lucha contra el cambio climático.
3,Waste (WS),Desperdicios,Evalúa el compromiso de la institución con la reducción de la generación de residuos y la promoción de prácticas sostenibles de manejo de residuos.
4,Water (WR),Agua,Datos sobre el uso y conservación del agua.
5,Transportation (TR),Transporte,Información sobre los medios de transporte disponibles.
6,Education and Research (ED),Educación,Información sobre programas educativos y de investigación.
7,Institutional Guidelines (?),Directrices Institucionales,Información sobre las políticas y directrices institucionales.
